AssetTag_RawWater_RawWater_Plant_INF_Flow_GPM,AssetTag_RawWater_RawWater_P2_Speed_FBK_Scaled,AssetTag_RawWater_RawWater_P3_Speed_FBK_Scaled,AssetTag_RawWater_RawWater_P1START_STOP,AssetTag_RawWater_RawWater_P2START_STOP,AssetTag_RawWater_RawWater_P3START_STOP,AssetTag_RawWater_RawWater_Inf_Flow_Setpoint_Control,AssetTag_RawWater_RawWater_ORP_Scaled,AssetTag_RawWater_RawWater_PH_Scaled,AssetTag_RawWater_RawWater_P2_Speed_CMD_Real,AssetTag_RawWater_RawWater_P3_Speed_CMD_Real,AssetTag_RawWater_RawWater_Inf_Flow_Total_Today,AssetTag_RawWater_RawWater_Inf_Flow_Total_Yesterday,AssetTag_RawWater_RawWater_Inf_Flow_Total_MG,AssetTag_RawWater_RawWater_Inf_Flow_Setpoint
323,0.10125,0.27375,0,0,0,0,549.75,5.95,52,44,0,0,0,1000
359.375,0.10125,0.27375,0,0,0,0,549.75,5.949125,52,44,0,0,0,1000
358,0.10125,0.27375,0,0,0,0,549.75,5.949125,52,44,0,0,0,1000
340.125,0.105,0.27375,0,0,0,0,549.75,5.94825,52,44,0,0,0,1000
361.125,0.105,0.2775,0,0,0,0,549.75,5.947375,52,44,0,0,0,1000
349.625,0.10125,0.2775,0,0,0,0,549.75,5.95,52,44,0,0,0,1000
356.875,0.105,0.2775,0,0,0,0,549.5625,5.949125,52,44,0,0,0,1000
359,0.10125,0.2775,0,0,0,0,549.75,5.94825,52,44,0,0,0,1000
358.625,0.105,0.27375,0,0,0,0,549.5625,5.94475,52,44,0,0,0,1000
354.5,0.10125,0.27375,0,0,0,0,549.75,5.94475,52,44,0,0,0,1000
355.5,0.105,0.27375,0,0,0,0,549.75,5.94475,52,44,0,0,0,1000
347.875,0.105,0.27375,0,0,0,0,549.5625,5.94475,52,44,0,0,0,1000
364.25,0.10125,0.27375,0,0,0,0,549.5625,5.943875,52,44,0,0,0,1000
360.5,0.10125,0.27375,0,0,0,0,549.5625,5.943875,52,44,0,0,0,1000
364,0.10125,0.2775,0,0,0,0,549.5625,5.943,52,44,0,0,0,1000
353.5,0.10125,0.2775,0,0,0,0,549.5625,5.942125,52,44,0,0,0,1000
338.125,0.10125,0.2775,0,0,0,0,549.5625,5.94125,52,44,0,0,0,1000
333,0.105,0.2775,0,0,0,0,549.5625,5.94125,52,44,0,0,0,1000
334.625,0.10125,0.2775,0,0,0,0,549.5625,5.943875,52,44,0,0,0,1000
348.5,0.10125,0.2775,0,0,0,0,549.75,5.943,52,44,0,0,0,1000
343.5,0.10125,0.2775,0,0,0,0,549.75,5.94125,52,44,0,0,0,1000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282.25,0.10125,0.27375,0,0,0,0,549.75,5.935125,52,44,0,0,0,1000
291.125,0.10125,0.27375,0,0,0,0,549.75,5.93425,52,44,0,0,0,1000
286,9.75E-02,0.27375,0,0,0,0,549.75,5.93425,52,44,0,0,0,1000
283.625,0.10125,0.27375,0,0,0,0,549.75,5.936,52,44,0,0,0,1000
287.375,0.10125,0.27375,0,0,0,0,549.75,5.93425,52,44,0,0,0,1000
287.25,0.10125,0.27375,0,0,0,0,549.75,5.93425,52,44,0,0,0,1000
285.125,0.10125,0.27375,0,0,0,0,549.75,5.9325,52,44,0,0,0,1000
285.125,0.10125,0.27375,0,0,0,0,549.75,5.931625,52,44,0,0,0,1000
291.125,0.10125,0.27375,0,0,0,0,549.9375,5.931625,52,44,0,0,0,1000
282.875,9.75E-02,0.27375,0,0,0,0,549.9375,5.929875,52,44,0,0,0,1000
286.25,0.10125,0.27375,0,0,0,0,549.9375,5.929,52,44,0,0,0,1000
280.5,0.10125,0.27375,0,0,0,0,549.9375,5.929,52,44,0,0,0,1000
288.5,0.105,0.27375,0,0,0,0,549.9375,5.929,52,44,0,0,0,1000
286.375,9.75E-02,0.27375,0,0,0,0,549.9375,5.92725,52,44,0,0,0,1000
280.75,9.75E-02,0.27,0,0,0,0,550.125,5.92725,52,44,0,0,0,1000
272,0.10125,0.27375,0,0,0,0,549.9375,5.926375,52,44,0,0,0,1000
289.875,0.09375,0.27375,0,0,0,0,550.125,5.9255,52,44,0,0,0,1000
275.625,0.10125,0.27375,0,0,0,0,550.125,5.924625,52,44,0,0,0,1000
284,9.75E-02,0.27375,0,0,0,0,550.3125,5.9255,52,44,0,0,0,1000
275.375,0.10125,0.27375,0,0,0,0,550.3125,5.9255,52,44,0,0,0,1000
275.625,9.75E-02,0.2775,0,0,0,0,550.3125,5.922875,52,44,0,0,0,1000
273.875,0.09375,0.27375,0,0,0,0,550.3125,5.922,52,44,0,0,0,1000
288.375,9.75E-02,0.27375,0,0,0,0,550.3125,5.921125,52,44,0,0,0,1000
275,0.10125,0.27,0,0,0,0,550.3125,5.92025,52,44,0,0,0,1000
275.625,9.75E-02,0.27375,0,0,0,0,550.5,5.919375,52,44,0,0,0,1000
285.25,9.75E-02,0.27375,0,0,0,0,550.3125,5.919375,52,44,0,0,0,1000
273.75,0.10125,0.27375,0,0,0,0,550.5,5.9185,52,44,0,0,0,1000
273.5,0.10125,0.27375,0,0,0,0,550.5,5.917625,52,44,0,0,0,1000
281.875,0.105,0.27375,0,0,0,0,550.3125,5.91675,52,44,0,0,0,1000
270.5,0.10125,0.27375,0,0,0,0,550.5,5.91675,52,44,0,0,0,1000
275.75,0.10125,0.27375,0,0,0,0,550.5,5.91675,52,44,0,0,0,1000
279.375,0.10125,0.27375,0,0,0,0,550.6875,5.9185,52,44,0,0,0,1000
274,0.10125,0.27375,0,0,0,0,550.6875,5.917625,52,44,0,0,0,1000
277.625,0.10125,0.27375,0,0,0,0,550.6875,5.91675,52,44,0,0,0,1000
272.875,0.10125,0.27375,0,0,0,0,550.6875,5.915,52,44,0,0,0,1000
273.375,0.10125,0.27,0,0,0,0,550.875,5.914125,52,44,0,0,0,1000
265.75,0.10125,0.27,0,0,0,0,550.6875,5.912375,52,44,0,0,0,1000
282.5,0.10125,0.27375,0,0,0,0,550.875,5.912375,52,44,0,0,0,1000
276.5,0.105,0.27375,0,0,0,0,550.875,5.912375,52,44,0,0,0,1000
268.125,0.105,0.27375,0,0,0,0,550.875,5.9115,52,44,0,0,0,1000
276.5,0.10125,0.27375,0,0,0,0,551.25,5.910625,52,44,0,0,0,1000
270.625,0.10125,0.2775,0,0,0,0,550.875,5.90975,52,44,0,0,0,1000
279,0.105,0.27375,0,0,0,0,550.875,5.908875,52,44,0,0,0,1000
276.75,0.10125,0.27375,0,0,0,0,551.0625,5.908,52,44,0,0,0,1000
272.375,0.10125,0.27375,0,0,0,0,551.0625,5.907125,52,44,0,0,0,1000
275,0.10125,0.27375,0,0,0,0,551.0625,5.907125,52,44,0,0,0,1000
270.125,0.10125,0.27375,0,0,0,0,551.25,5.907125,52,44,0,0,0,1000
278.125,0.10125,0.27375,0,0,0,0,551.0625,5.908875,52,44,0,0,0,1000
275.875,0.105,0.27375,0,0,0,0,551.25,5.907125,52,44,0,0,0,1000
280.75,0.105,0.27375,0,0,0,0,551.4375,5.905375,52,44,0,0,0,1000
262.875,0.105,0.27375,0,0,0,0,551.25,5.9045,52,44,0,0,0,1000
271,0.10125,0.27375,0,0,0,0,551.25,5.903625,52,44,0,0,0,1000
276.25,0.10125,0.2775,0,0,0,0,551.25,5.903625,52,44,0,0,0,1000
275.5,9.75E-02,0.27375,0,0,0,0,551.4375,5.90275,52,44,0,0,0,1000
269,0.10125,0.27375,0,0,0,0,551.25,5.901875,52,44,0,0,0,1000
273.125,0.105,0.27375,0,0,0,0,551.25,5.901,52,44,0,0,0,1000
270.5,0.10125,0.27375,0,0,0,0,551.4375,5.900125,52,44,0,0,0,1000
269.75,0.10125,0.2775,0,0,0,0,551.25,5.89925,52,44,0,0,0,1000
270,0.105,0.27375,0,0,0,0,551.4375,5.898375,52,44,0,0,0,1000
270,0.10125,0.27375,0,0,0,0,551.625,5.8975,52,44,0,0,0,1000
264.75,0.105,0.27375,0,0,0,0,551.4375,5.896625,52,44,0,0,0,1000
287.5,0.10125,0.27375,0,0,0,0,551.625,5.8975,52,44,0,0,0,1000
276.125,0.10125,0.27375,0,0,0,0,551.625,5.896625,52,44,0,0,0,1000
268.375,9.75E-02,0.27375,0,0,0,0,551.4375,5.896625,52,44,0,0,0,1000
274,0.10125,0.27375,0,0,0,0,551.8125,5.893125,52,44,0,0,0,1000
272.875,0.10125,0.27375,0,0,0,0,551.4375,5.893125,52,44,0,0,0,1000
268.875,0.10125,0.27375,0,0,0,0,551.625,5.891375,52,44,0,0,0,1000
274.125,0.10125,0.2775,0,0,0,0,551.625,5.8905,52,44,0,0,0,1000
278,0.105,0.27375,0,0,0,0,551.625,5.8905,52,44,0,0,0,1000
269.5,0.105,0.27375,0,0,0,0,551.8125,5.889625,52,44,0,0,0,1000
264.125,0.105,0.27375,0,0,0,0,551.8125,5.887875,52,44,0,0,0,1000
272.25,0.105,0.2775,0,0,0,0,551.8125,5.887,52,44,0,0,0,1000
273.75,0.105,0.27375,0,0,0,0,552,5.88525,52,44,0,0,0,1000
274.125,0.105,0.27,0,0,0,0,551.8125,5.884375,52,44,0,0,0,1000
277,0.10875,0.27375,0,0,0,0,552,5.884375,52,44,0,0,0,1000
280.75,0.105,0.2775,0,0,0,0,551.8125,5.882625,52,44,0,0,0,1000
280.375,0.105,0.2775,0,0,0,0,552,5.884375,52,44,0,0,0,1000
287.375,0.105,0.27375,0,0,0,0,552,5.8835,52,44,0,0,0,1000
280,0.105,0.27375,0,0,0,0,552,5.880875,52,44,0,0,0,1000
277.375,0.105,0.27375,0,0,0,0,552,5.879125,52,44,0,0,0,1000
282.125,0.10125,0.2775,0,0,0,0,552.1875,5.87825,52,44,0,0,0,1000
284.125,0.105,0.27375,0,0,0,0,552.375,5.87825,52,44,0,0,0,1000
284.375,0.10125,0.27375,0,0,0,0,552.1875,5.877375,52,44,0,0,0,1000
279.5,0.10125,0.2775,0,0,0,0,552.375,5.875625,52,44,0,0,0,1000
275.75,0.10125,0.2775,0,0,0,0,552.5625,5.87475,52,44,0,0,0,1000
273.375,9.75E-02,0.2775,0,0,0,0,552.1875,5.87475,52,44,0,0,0,1000
276.125,0.10125,0.27375,0,0,0,0,552.375,5.873,52,44,0,0,0,1000
271.125,0.10125,0.27375,0,0,0,0,552.75,5.872125,52,44,0,0,0,1000
280,9.75E-02,0.27375,0,0,0,0,552.5625,5.872125,52,44,0,0,0,1000
275.75,9.75E-02,0.2775,0,0,0,0,552.9375,5.873,52,44,0,0,0,1000
274.25,9.75E-02,0.2775,0,0,0,0,552.75,5.872125,52,44,0,0,0,1000
275.125,0.10125,0.2775,0,0,0,0,553.125,5.870375,52,44,0,0,0,1000
270,0.10125,0.2775,0,0,0,0,552.9375,5.870375,52,44,0,0,0,1000
272.75,9.75E-02,0.2775,0,0,0,0,552.9375,5.8695,52,44,0,0,0,1000
274.625,0.105,0.2775,0,0,0,0,553.125,5.86775,52,44,0,0,0,1000
277.75,0.105,0.2775,0,0,0,0,553.125,5.866875,52,44,0,0,0,1000
278.75,0.10125,0.2775,0,0,0,0,553.125,5.866,52,44,0,0,0,1000
279.5,0.10125,0.27375,0,0,0,0,553.125,5.866875,52,44,0,0,0,1000
283,0.105,0.27375,0,0,0,0,553.125,5.863375,52,44,0,0,0,1000
278.625,0.105,0.27375,0,0,0,0,553.125,5.863375,52,44,0,0,0,1000
279.5,0.10125,0.26625,0,0,0,0,553.125,5.8625,52,44,0,0,0,1000
295.25,0.10125,0.27,0,0,0,0,553.125,5.861625,52,44,0,0,0,1000
279.375,0.10125,0.27375,0,0,0,0,553.3125,5.863375,52,44,0,0,0,1000
276.875,0.105,0.27375,0,0,0,0,553.125,5.8625,52,44,0,0,0,1000
276.625,0.10125,0.27375,0,0,0,0,553.5,5.861625,52,44,0,0,0,1000
352.875,0.105,59.80875,0,0,1,0,552.75,5.859875,52,60,0,0,0,1000
497.75,0.10125,59.76,0,0,1,0,548.8125,5.859875,52,60,0,0,0,1000
757,0.105,59.8425,0,0,1,0,548.25,5.859875,52,60,0,0,0,1000
1216.625,0.10125,59.805,0,0,1,0,549.1875,5.859875,52,60,0,0,0,1000
1450,0.10125,59.8275,0,0,1,0,549.375,5.859,52,60,0,0,0,1000
1407.875,0.10125,59.85375,0,0,1,0,550.3125,5.858125,52,60,0,0,0,1000
1409.125,0.10125,59.84625,0,0,1,1,551.0625,5.85725,52,60,0,0,0,1000
1416.125,0.10125,59.895,0,0,1,1,551.25,5.85725,52,59,0,0,0,1000
1369.375,0.10125,58.8675,0,0,1,1,552,5.858125,52,58,0,0,0,1000
1338,0.10125,57.88875,0,0,1,1,552.75,5.859,52,57,0,0,0,1000
1329.125,0.09375,56.895,0,0,1,1,552.9375,5.859875,52,56,0,0,0,1000
1266.375,0.10125,55.88625,0,0,1,1,553.875,5.86075,52,55,0,0,0,1000
1185.625,0.10125,54.84375,0,0,1,1,554.25,5.86075,52,54,0,0,0,1000
1194.125,0.10125,53.97,0,0,1,1,554.4375,5.86075,52,53,0,0,0,1000
1127.75,0.10125,52.87875,0,0,1,1,554.625,5.86425,52,52,0,0,0,1000
1102,0.105,51.79125,0,0,1,1,554.8125,5.865125,52,51,0,0,0,1000
1076.375,0.10125,50.90625,0,0,1,1,554.625,5.865125,52,50,0,0,0,1000
1035.75,0.105,49.9125,0,0,1,1,555,5.86425,52,49,0,0,0,1000
1021.5,0.105,48.795,0,0,1,1,555.1875,5.863375,52,49,0,0,0,1000
1023.125,0.10125,48.9,0,0,1,1,554.8125,5.863375,52,48.5,0,0,0,1000
1002.375,0.10125,48.3525,0,0,1,1,554.625,5.86425,52,48.5,0,0,0,1000
1023.75,0.10125,48.40125,0,0,1,1,555.1875,5.86425,52,48,0,0,0,1000
979.5,0.10125,47.925,0,0,1,1,555.1875,5.865125,52,48,0,0,0,1000
1005.25,0.10125,47.85,0,0,1,1,555.1875,5.865125,52,48,0,0,0,1000
1087.75,0.10125,47.865,0,0,1,1,555.1875,5.86425,52,47,0,0,0,1000
1017.625,0.10125,46.95,0,0,1,1,555.1875,5.865125,52,47,0,0,0,1000
1008.625,0.105,46.91625,0,0,1,1,555,5.865125,52,47,0,0,0,1000
987.125,0.105,47.025,0,0,1,1,554.8125,5.86775,52,47,0,0,0,1000
1029.875,0.10125,46.96875,0,0,1,1,554.4375,5.8695,52,46.5,0,0,0,1000
981.75,0.105,46.41,0,0,1,1,555,5.868625,52,46.5,0,0,0,1000
961.25,0.10125,47.41125,0,0,1,1,554.8125,5.86775,52,47.5,0,0,0,1000
1022.625,0.105,47.40375,0,0,1,1,554.8125,5.86775,52,47.5,0,0,0,1000
982.875,0.105,47.38875,0,0,1,1,554.8125,5.868625,52,47.5,0,0,0,1000
1022.625,0.105,47.41125,0,0,1,1,554.8125,5.868625,52,47.5,0,0,0,1000
985.875,0.10125,47.83875,0,0,1,1,554.8125,5.8695,52,48,0,0,0,1000
1059,0.105,47.9325,0,0,1,1,554.4375,5.8695,52,47,0,0,0,1000
1009.875,0.105,46.87875,0,0,1,1,554.25,5.8695,52,47,0,0,0,1000
980.125,0.105,46.995,0,0,1,1,554.625,5.8695,52,47.5,0,0,0,1000
1016.375,0.105,47.30625,0,0,1,1,554.625,5.87125,52,47.5,0,0,0,1000
985.375,0.10125,46.365,0,0,1,1,554.4375,5.873,52,46.5,0,0,0,1000
974,0.10125,47.355,0,0,1,1,554.4375,5.872125,52,47.5,0,0,0,1000
1014.125,0.10125,46.41,0,0,1,1,554.4375,5.872125,52,46.5,0,0,0,1000
954.625,0.105,46.42875,0,0,1,1,554.4375,5.873,52,47.5,0,0,0,1000
1016.75,0.10125,47.45625,0,0,1,1,554.0625,5.872125,52,47.5,0,0,0,1000
984.75,0.105,47.37375,0,0,1,1,554.0625,5.873,52,47.5,0,0,0,1000
974.75,0.10125,46.40625,0,0,1,1,554.0625,5.873,52,46.5,0,0,0,1000
972.125,0.105,46.425,0,0,1,1,554.0625,5.873,52,46.5,0,0,0,1000
970,0.105,46.4625,0,0,1,1,554.25,5.873875,52,47,0,0,0,1000
978.625,0.105,46.90875,0,0,1,1,554.25,5.87475,52,47,0,0,0,1000
1004.125,0.105,46.8975,0,0,1,1,554.0625,5.8765,52,46.5,0,0,0,1000
986.125,0.10125,46.29375,0,0,1,1,554.25,5.8765,52,46.5,0,0,0,1000
1027.375,0.10125,46.39125,0,0,1,1,554.0625,5.875625,52,46.5,0,0,0,1000
971.5,0.105,46.32375,0,0,1,1,554.0625,5.877375,52,46.5,0,0,0,1000
951.25,0.105,46.32375,0,0,1,1,553.6875,5.87825,52,47,0,0,0,1000
1023.75,0.105,46.91625,0,0,1,1,554.0625,5.877375,52,47,0,0,0,1000
974.375,0.105,46.81125,0,0,1,1,554.0625,5.877375,52,47,0,0,0,1000
986.75,0.105,46.8675,0,0,1,1,554.0625,5.87825,52,47,0,0,0,1000
995.875,0.105,46.95,0,0,1,1,553.6875,5.87825,52,47,0,0,0,1000
991.875,0.105,46.81125,0,0,1,1,553.875,5.879125,52,47,0,0,0,1000
966,0.10875,46.90125,0,0,1,1,553.6875,5.879125,52,47.5,0,0,0,1000
983.125,0.105,47.46,0,0,1,1,553.5,5.88175,52,47.5,0,0,0,1000
1018.25,0.10875,48.39375,0,0,1,1,553.5,5.882625,52,48.5,0,0,0,1000
1027.375,0.1125,47.5125,0,0,1,1,553.5,5.88175,52,47.5,0,0,0,1000
1014.75,0.10875,47.50875,0,0,1,1,553.6875,5.88175,52,47.5,0,0,0,1000
1007.25,0.10875,47.44125,0,0,1,1,553.6875,5.88175,52,47.5,0,0,0,1000
988.125,0.10875,47.37,0,0,1,1,553.5,5.882625,52,47.5,0,0,0,1000
929,0.105,46.485,0,0,1,1,553.5,5.882625,52,46.5,0,0,0,1000
1023.375,0.10125,47.3625,0,0,1,1,553.5,5.8835,52,47.5,0,0,0,1000
1005.375,0.105,47.38125,0,0,1,1,553.5,5.884375,52,47.5,0,0,0,1000
982.5,0.105,47.32125,0,0,1,1,553.125,5.884375,52,47.5,0,0,0,1000
1007,0.105,47.385,0,0,1,1,553.3125,5.887,52,47.5,0,0,0,1000
1001.75,0.10125,47.40375,0,0,1,1,553.125,5.887875,52,47.5,0,0,0,1000
1002.75,0.105,47.39625,0,0,1,1,553.125,5.88525,52,47.5,0,0,0,1000
1001.875,0.105,47.40375,0,0,1,1,553.125,5.887,52,47.5,0,0,0,1000
980.375,0.105,46.39875,0,0,1,1,553.3125,5.887875,52,46.5,0,0,0,1000
990.25,0.105,46.425,0,0,1,1,553.125,5.887,52,46.5,0,0,0,1000
906.5,0.105,46.43625,0,0,1,1,553.3125,5.887875,52,46.5,0,0,0,1000
1048.625,0.105,47.27625,0,0,1,1,553.125,5.887875,52,47.5,0,0,0,1000
993.5,0.105,46.38375,0,0,1,1,553.3125,5.88875,52,46.5,0,0,0,1000
959.25,0.105,46.5075,0,0,1,1,552.9375,5.889625,52,47.5,0,0,0,1000
987.75,0.105,47.34,0,0,1,1,552.9375,5.89225,52,47.5,0,0,0,1000
977.75,0.105,47.4,0,0,1,1,553.125,5.893125,52,47.5,0,0,0,1000
1019.5,0.105,47.43,0,0,1,1,553.3125,5.891375,52,47.5,0,0,0,1000
1007,0.105,47.3475,0,0,1,1,553.125,5.8905,52,47.5,0,0,0,1000
1013.75,0.105,47.4,0,0,1,1,553.125,5.89225,52,47.5,0,0,0,1000
1012.5,0.105,47.38875,0,0,1,1,552.9375,5.89225,52,47.5,0,0,0,1000
984.375,0.105,47.5425,0,0,1,1,552.9375,5.89225,52,47.5,0,0,0,1000
1008.5,0.10875,47.355,0,0,1,1,552.75,5.89225,52,47.5,0,0,0,1000
1061.125,0.10875,47.38875,0,0,1,1,552.5625,5.89225,52,46.5,0,0,0,1000
1011.875,0.105,46.33875,0,0,1,1,552.9375,5.894,52,46.5,0,0,0,1000
964.625,0.105,46.40625,0,0,1,1,552.9375,5.89575,52,46.5,0,0,0,1000
940.375,0.10875,46.4025,0,0,1,1,552.9375,5.896625,52,47.5,0,0,0,1000
1003.875,0.105,47.3775,0,0,1,1,552.9375,5.894875,52,47.5,0,0,0,1000
999,0.10875,47.43375,0,0,1,1,552.75,5.89575,52,47.5,0,0,0,1000
1031.5,0.10875,47.4525,0,0,1,1,552.75,5.896625,52,47.5,0,0,0,1000
989,0.10875,46.4175,0,0,1,1,552.75,5.896625,52,46.5,0,0,0,1000
1021.5,0.105,47.34,0,0,1,1,552.75,5.8975,52,47.5,0,0,0,1100
991.875,0.105,48.33375,0,0,1,1,552.75,5.8975,52,48.5,0,0,0,1100
1030.125,0.105,49.32,0,0,1,1,552.75,5.896625,52,49.5,0,0,0,1100
1107.5,0.105,49.45875,0,0,1,1,552.5625,5.8975,52,49.5,0,0,0,1100
1094.75,0.105,49.44,0,0,1,1,552.5625,5.898375,52,49.5,0,0,0,1100
1092.25,0.105,49.45125,0,0,1,1,552.5625,5.900125,52,49.5,0,0,0,1100
1075.125,0.10875,49.8075,0,0,1,1,552.375,5.900125,52,50,0,0,0,1100
1112.75,0.10875,49.81125,0,0,1,1,552.375,5.89925,52,50,0,0,0,1100
1106,0.10875,49.9125,0,0,1,1,552,5.900125,52,50,0,0,0,1100
1103.25,0.10875,49.86,0,0,1,1,552.375,5.900125,52,50,0,0,0,1100
1098.25,0.10875,49.81875,0,0,1,1,552.375,5.900125,52,50,0,0,0,1100
1114.125,0.10875,50.89875,0,0,1,1,552.1875,5.900125,52,51,0,0,0,1100
1137.75,0.10875,50.89875,0,0,1,1,552.1875,5.901875,52,51,0,0,0,1100
1104.75,0.1125,49.9575,0,0,1,1,552.375,5.903625,52,50,0,0,0,1100
1097.875,0.10875,49.93125,0,0,1,1,552.375,5.9045,52,50,0,0,0,1100
1073.375,0.105,48.95625,0,0,1,1,552.375,5.905375,52,49,0,0,0,1100
1054.625,0.10875,48.9,0,0,1,1,552.375,5.905375,52,49,0,0,0,1100
1102.75,0.10875,49.34625,0,0,1,1,551.8125,5.9045,52,49.5,0,0,0,1100
1054,0.105,49.41,0,0,1,1,552,5.9045,52,49.5,0,0,0,1100
1061.125,0.10125,48.4425,0,0,1,1,552.1875,5.905375,52,48.5,0,0,0,1100
1061.875,0.10125,49.42125,0,0,1,1,552.1875,5.905375,52,49.5,0,0,0,1100
1095.25,0.105,49.365,0,0,1,1,552.375,5.9045,52,49.5,0,0,0,1100
1093.375,0.105,49.455,0,0,1,1,552.375,5.90625,52,49.5,0,0,0,1100
1080.25,0.105,49.38375,0,0,1,1,552.375,5.90625,52,49.5,0,0,0,1100
1068.625,0.105,49.39875,0,0,1,1,552,5.908,52,49.5,0,0,0,1100
1075.25,0.105,49.40625,0,0,1,1,552,5.90975,52,49.5,0,0,0,1100
1084.625,0.10125,49.365,0,0,1,1,552,5.908875,52,49.5,0,0,0,1100
1085.125,0.105,49.32,0,0,1,1,552.1875,5.907125,52,49.5,0,0,0,1100
1116,0.10125,49.38,0,0,1,1,552,5.908,52,49.5,0,0,0,1100
1112.625,0.105,49.44,0,0,1,1,552.1875,5.908,52,49.5,0,0,0,1100
1090.125,0.105,49.46625,0,0,1,1,552.1875,5.908,52,49.5,0,0,0,1100
1105.75,0.105,49.45125,0,0,1,1,552.1875,5.908,52,49.5,0,0,0,1100
1071.25,0.105,49.43625,0,0,1,1,552.375,5.908875,52,49.5,0,0,0,1100
1087.125,0.10125,49.38375,0,0,1,1,552,5.90975,52,49.5,0,0,0,1100
1099.625,0.105,49.30125,0,0,1,1,552.1875,5.9115,52,49.5,0,0,0,1100
1099.75,0.105,49.335,0,0,1,1,552.1875,5.9115,52,49.5,0,0,0,1100
1091.375,0.105,49.37625,0,0,1,1,552.1875,5.912375,52,49.5,0,0,0,1100
1068,0.105,49.42125,0,0,1,1,552.1875,5.9115,52,48.5,0,0,0,1100
1077.25,0.105,48.46875,0,0,1,1,552.1875,5.912375,52,48.5,0,0,0,1100
1061.125,0.105,48.45375,0,0,1,1,552.375,5.912375,52,49,0,0,0,1100
1076.25,0.105,48.9375,0,0,1,1,552.375,5.912375,52,49,0,0,0,1100
1083.25,0.105,48.94125,0,0,1,1,551.8125,5.912375,52,49.5,0,0,0,1100
1122,0.10125,49.335,0,0,1,1,552.1875,5.912375,52,49.5,0,0,0,1100
1067.125,0.105,49.35375,0,0,1,1,552,5.91325,52,49.5,0,0,0,1100
1093.5,0.10125,49.45125,0,0,1,1,552.1875,5.914125,52,49.5,0,0,0,1100
1096.5,0.105,50.35875,0,0,1,1,552.1875,5.914125,52,50.5,0,0,0,1100
1140,0.105,50.415,0,0,1,1,552,5.915875,52,50.5,0,0,0,1100
1057.125,0.105,49.32375,0,0,1,1,552,5.91675,52,49.5,0,0,0,1100
1121,0.10125,49.46625,0,0,1,1,552.1875,5.915,52,49.5,0,0,0,1100
1123.625,0.105,49.44375,0,0,1,1,551.625,5.915875,52,49.5,0,0,0,1100
1164.125,0.105,49.24125,0,0,1,1,551.4375,5.915,52,48.5,0,0,0,1100
1088.75,0.105,48.3225,0,0,1,1,552,5.91675,52,48.5,0,0,0,1100
1088,0.105,48.4875,0,0,1,1,552,5.91675,52,49,0,0,0,1100
1072.875,0.10875,48.9375,0,0,1,1,552,5.91675,52,49,0,0,0,1100
